SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed,TotalTimeAwake,TotalMinutesLight,TotalMinutesDeep,TotalMinutesREM
2/1/2018 12:00:00 AM,1,193,222,29,95,57,41
2/2/2018 12:00:00 AM,1,508,577,69,262,101,145
2/3/2018 12:00:00 AM,1,369,411,42,228,62,79
2/4/2018 12:00:00 AM,2,185,205,0,0,0,0
2/5/2018 12:00:00 AM,1,347,424,77,256,27,64
2/6/2018 12:00:00 AM,2,283,308,0,0,0,0
2/7/2018 12:00:00 AM,2,504,605,94,268,72,85
2/8/2018 12:00:00 AM,2,262,315,40,125,29,0
2/9/2018 12:00:00 AM,1,406,505,99,288,77,41
2/10/2018 12:00:00 AM,3,433,473,23,172,14,0
2/11/2018 12:00:00 AM,2,482,575,83,291,67,67
2/12/2018 12:00:00 AM,1,421,510,89,279,68,74
2/13/2018 12:00:00 AM,1,404,478,74,287,49,68
2/14/2018 12:00:00 AM,1,401,449,48,254,73,74
2/15/2018 12:00:00 AM,1,409,482,73,210,89,110
2/16/2018 12:00:00 AM,1,447,539,92,262,96,89
2/17/2018 12:00:00 AM,1,406,484,78,221,98,87
2/18/2018 12:00:00 AM,1,426,508,82,309,58,59
2/19/2018 12:00:00 AM,1,352,400,48,221,37,94
2/20/2018 12:00:00 AM,1,360,429,69,246,56,58
2/21/2018 12:00:00 AM,1,442,544,102,245,91,106
2/22/2018 12:00:00 AM,1,518,604,86,285,113,120
2/23/2018 12:00:00 AM,1,445,532,87,311,60,74
2/24/2018 12:00:00 AM,2,383,440,44,171,78,41
2/25/2018 12:00:00 AM,2,488,576,79,263,81,76
2/26/2018 12:00:00 AM,1,419,527,108,277,78,64
2/27/2018 12:00:00 AM,0,0,0,0,0,0,0
2/28/2018 12:00:00 AM,1,428,523,95,226,109,93
3/1/2018 12:00:00 AM,1,408,476,68,255,81,72
3/2/2018 12:00:00 AM,2,467,538,62,213,63,21
3/3/2018 12:00:00 AM,1,436,511,75,267,90,79
3/4/2018 12:00:00 AM,1,375,458,83,241,92,42
3/5/2018 12:00:00 AM,1,451,525,74,306,76,69
3/6/2018 12:00:00 AM,1,409,490,81,279,62,68
3/7/2018 12:00:00 AM,1,505,599,94,382,73,50
3/8/2018 12:00:00 AM,1,481,568,87,275,97,109
3/9/2018 12:00:00 AM,1,507,589,82,352,95,60
3/10/2018 12:00:00 AM,1,395,471,76,238,99,58
3/11/2018 12:00:00 AM,1,400,550,90,259,89,52
3/12/2018 12:00:00 AM,1,408,488,80,240,88,80
3/13/2018 12:00:00 AM,2,429,504,69,233,60,43
3/14/2018 12:00:00 AM,1,454,554,100,286,72,96
3/15/2018 12:00:00 AM,1,353,419,66,230,73,50
3/16/2018 12:00:00 AM,1,494,598,104,338,86,70
3/17/2018 12:00:00 AM,2,432,496,57,177,60,31
3/18/2018 12:00:00 AM,2,381,451,63,241,55,32
3/19/2018 12:00:00 AM,1,456,537,81,243,108,105
3/20/2018 12:00:00 AM,1,460,553,93,268,89,103
3/21/2018 12:00:00 AM,1,429,503,74,277,77,75
3/22/2018 12:00:00 AM,1,396,474,78,224,85,87
3/23/2018 12:00:00 AM,2,398,476,56,156,80,13
3/24/2018 12:00:00 AM,1,464,541,77,273,78,113
3/25/2018 12:00:00 AM,1,421,499,78,246,85,90
3/26/2018 12:00:00 AM,1,489,587,98,305,93,91
3/27/2018 12:00:00 AM,1,427,526,99,237,88,102
3/28/2018 12:00:00 AM,1,420,496,76,187,123,110
3/29/2018 12:00:00 AM,1,434,536,102,254,95,85
3/30/2018 12:00:00 AM,1,408,505,97,259,80,69
3/31/2018 12:00:00 AM,1,445,517,72,240,110,95
4/1/2018 12:00:00 AM,2,426,485,55,192,81,52
4/2/2018 12:00:00 AM,1,411,525,114,231,102,78
4/3/2018 12:00:00 AM,2,339,402,63,206,86,47
4/4/2018 12:00:00 AM,2,316,354,32,146,39,12
4/5/2018 12:00:00 AM,2,396,444,37,117,81,42
4/6/2018 12:00:00 AM,1,377,456,79,227,76,74
4/7/2018 12:00:00 AM,1,526,628,102,297,130,99
4/8/2018 12:00:00 AM,1,458,547,89,213,124,121
4/9/2018 12:00:00 AM,1,448,537,89,248,116,84
4/10/2018 12:00:00 AM,1,443,529,86,281,99,63
4/11/2018 12:00:00 AM,1,361,413,52,244,64,53
4/12/2018 12:00:00 AM,1,407,467,60,230,98,79
4/13/2018 12:00:00 AM,1,379,453,74,208,92,79
4/14/2018 12:00:00 AM,1,395,452,57,239,91,65
4/15/2018 12:00:00 AM,1,387,425,0,0,0,0
4/16/2018 12:00:00 AM,1,460,551,91,297,77,86
4/17/2018 12:00:00 AM,1,403,471,68,238,81,84
4/18/2018 12:00:00 AM,1,439,539,100,326,67,46
4/19/2018 12:00:00 AM,1,359,440,81,247,71,41
4/20/2018 12:00:00 AM,1,422,503,81,272,96,54
