Date,StartTime,Duration,Activity,ActivityType,LogType,Steps,Distance,ElevationGain,Calories,SedentaryMinutes,LightlyActiveMinutes,FairlyActiveMinutes,VeryActiveMinutes,AverageHeartRate,OutOfRangeHeartRateMinutes,FatBurnHeartRateMinutes,CardioHeartRateMinutes,PeakHeartRateMinutes
3/7/2017,7:52:26,1164000,Weights,2131,tracker,390,0,18.288,185,0,0,1,18,127,0,7,12,0
3/7/2017,18:15:23,1025000,Walk,90013,auto_detected,1749,0,9.144,160,0,1,1,15,114,4,3,9,0
3/8/2017,14:59:34,1177000,Walk,90013,auto_detected,1175,0,6.096,116,2,17,0,0,96,10,8,1,0
3/8/2017,17:47:49,2193000,Run,90009,tracker,5835,6.702859,98.45,500,0,0,0,37,152,0,0,17,18
3/9/2017,7:59:22,1542000,Treadmill,20049,tracker,4182,4.75008,4.572,362,0,0,0,26,155,0,1,9,16
3/9/2017,8:30:15,1718000,Weights,2131,tracker,577,0,11.278,294,0,0,0,28,134,0,5,23,0
3/10/2017,7:50:21,973000,Walk,90013,auto_detected,1537,0,12.192,127,0,2,1,13,99,6,10,0,0
3/10/2017,18:35:10,2611000,Walk,90013,auto_detected,4707,0,24.384,335,0,1,8,34,88,24,19,0,0
3/11/2017,8:20:20,2610000,Walk,90013,auto_detected,2951,0,6.096,237,11,11,6,15,85,26,17,0,0
3/11/2017,21:20:18,1638000,Walk,90013,auto_detected,2632,0,9.144,187,0,4,4,19,86,19,8,0,0
3/12/2017,9:10:27,1746000,Walk,90013,auto_detected,2761,0,9.144,241,2,2,2,23,112,7,15,1,3
3/12/2017,15:13:11,1280000,Walk,90013,auto_detected,1185,0,0,107,3,18,0,0,84,17,3,0,0
3/12/2017,15:53:19,921000,Walk,90013,auto_detected,1311,0,3.048,99,1,2,3,9,93,4,11,0,0
3/12/2017,19:36:02,1945000,Walk,90013,auto_detected,2475,0,6.096,203,4,3,9,16,94,16,15,0,0
3/12/2017,21:08:11,1587000,Walk,90013,auto_detected,2353,0,0,174,1,2,5,18,92,13,12,0,0
3/12/2017,22:29:15,922000,Walk,90013,auto_detected,1242,0,3.048,91,0,3,8,4,89,11,4,0,0
3/13/2017,8:24:54,2098000,Walk,90013,auto_detected,3025,0,6.096,230,2,11,2,19,92,14,21,0,0
3/13/2017,13:46:37,2918000,Walk,90013,auto_detected,4112,0,9.144,329,2,10,8,28,95,18,31,0,0
3/13/2017,18:16:15,2509000,Walk,90013,auto_detected,3231,0,6.096,267,7,10,5,19,89,11,13,0,0
3/14/2017,7:50:20,2151000,Walk,90013,auto_detected,3235,0,15.24,253,2,9,3,21,93,15,17,0,0
3/14/2017,11:52:41,1178000,Walk,90013,auto_detected,1861,0,0,150,0,2,2,16,97,11,6,1,0
3/14/2017,15:50:47,3277000,Walk,90013,auto_detected,3681,0,39.624,372,8,15,5,26,99,17,25,6,0
3/15/2017,9:24:07,1434000,Walk,90013,auto_detected,1750,0,15.24,143,4,19,0,0,87,10,11,0,0
3/15/2017,18:43:04,2662000,Walk,90013,auto_detected,4357,0,60.96,313,1,5,10,28,83,33,11,0,0
3/16/2017,8:49:34,2712000,Walk,90013,auto_detected,4563,0,39.624,362,0,4,7,34,96,14,22,1,0
3/17/2017,8:21:50,1280000,Walk,90013,auto_detected,2183,0,0,155,0,1,4,16,89,15,7,0,0
3/17/2017,18:04:40,1382000,Walk,90013,auto_detected,2176,0,21.336,191,0,3,3,17,99,8,8,2,1
3/21/2017,13:08:36,2049000,Walk,90013,auto_detected,3122,0,15.24,238,5,2,3,24,92,18,16,0,0
3/22/2017,21:22:16,1127000,Walk,90013,auto_detected,1751,0,6.096,134,0,2,2,15,91,11,7,0,0
3/23/2017,14:41:38,921000,Walk,90013,auto_detected,1540,0,12.192,130,0,1,2,12,109,2,11,2,0
3/24/2017,16:00:35,1741000,Walk,90013,auto_detected,2749,0,64.008,219,1,3,3,22,93,14,13,0,0
3/25/2017,11:02:21,1536000,Walk,90013,auto_detected,1794,0,15.24,184,1,3,6,15,109,2,18,3,0
3/25/2017,15:39:41,1639000,Walk,90013,auto_detected,2135,0,0,194,2,9,3,13,99,7,13,2,0
3/26/2017,7:19:13,1483000,Sport,15000,auto_detected,244,0,0,87,8,16,0,0,95,10,13,0,0
3/26/2017,11:31:47,1896000,Sport,15000,auto_detected,1100,0,0,138,0,31,0,0,82,25,7,0,0
3/28/2017,16:11:43,1741000,Walk,90013,auto_detected,1621,0,3.048,144,10,7,6,6,85,15,11,0,0
3/29/2017,13:18:56,1997000,Walk,90013,auto_detected,1896,0,18.288,180,5,28,0,0,87,19,13,0,0
3/30/2017,7:30:21,1331000,Walk,90013,auto_detected,1960,0,9.144,164,2,0,3,17,109,1,21,0,0
3/30/2017,19:32:16,2047000,Walk,90013,auto_detected,2813,0,12.192,230,2,6,4,22,93,15,18,0,0
3/31/2017,7:36:46,1382000,Walk,90013,auto_detected,2117,0,15.24,157,0,4,5,14,86,17,5,0,0
3/31/2017,19:31:52,1177000,Walk,90013,auto_detected,1875,0,9.144,148,0,2,3,14,94,9,8,2,0
4/1/2017,10:29:35,1433000,Walk,90013,auto_detected,1756,0,15.24,143,5,10,3,5,94,11,11,0,0
4/2/2017,13:03:37,1331000,Walk,90013,auto_detected,1944,0,18.288,171,2,2,3,15,106,4,9,3,0
4/4/2017,7:57:16,1025000,Walk,90013,auto_detected,1508,0,15.24,131,1,3,0,13,99,5,7,1,1
4/7/2017,8:19:55,1076000,Walk,90013,auto_detected,1632,0,15.24,126,0,1,4,12,96,3,14,0,0
4/8/2017,9:42:17,2048000,Sport,15000,auto_detected,1980,0,0,269,1,1,8,24,116,2,24,6,0
4/8/2017,11:35:47,2765000,Sport,15000,auto_detected,2617,0,0,419,0,0,3,43,123,0,27,12,0
4/8/2017,13:25:52,3686000,Sport,15000,auto_detected,2617,0,0,482,0,0,11,51,115,0,59,1,0
4/8/2017,14:52:03,1741000,Sport,15000,auto_detected,1130,0,0,204,0,3,8,18,111,1,26,2,0
4/8/2017,16:29:20,1638000,Sport,15000,auto_detected,1263,0,0,213,0,0,2,25,117,0,24,0,0
4/9/2017,9:50:25,1587000,Walk,90013,auto_detected,1724,0,15.24,140,8,18,0,0,88,17,9,0,0
4/9/2017,11:27:41,2253000,Walk,90013,auto_detected,3543,0,24.384,286,0,4,7,27,101,8,28,2,0
4/10/2017,8:22:06,1178000,Walk,90013,auto_detected,1652,0,12.192,133,2,2,1,14,95,6,11,0,0
4/10/2017,16:59:13,972000,Walk,90013,auto_detected,1228,0,0,104,0,0,12,4,96,7,9,0,0
4/10/2017,18:34:38,1993000,Run,90009,tracker,5320,5.720329,52.121,429,0,0,0,33,149,0,1,30,2
4/12/2017,14:01:44,1127000,Walk,90013,auto_detected,1869,0,9.144,166,0,0,2,17,123,0,9,3,0
4/12/2017,19:15:17,2177000,Run,90009,tracker,5952,6.654439,42.367,476,0,0,0,36,152,0,1,26,9
4/13/2017,7:55:54,1126000,Walk,90013,auto_detected,1524,0,12.192,157,2,16,0,0,111,5,6,4,2
4/13/2017,18:32:02,571000,Run,90009,tracker,1526,1.697359,24.079,116,0,0,0,9,141,1,1,8,1
