SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed
3/31/2017 12:00:00 AM,1,422,467
4/1/2017 12:00:00 AM,1,487,556
4/2/2017 12:00:00 AM,1,516,561
4/3/2017 12:00:00 AM,1,449,484
4/4/2017 12:00:00 AM,1,411,457
4/5/2017 12:00:00 AM,1,384,436
4/6/2017 12:00:00 AM,1,487,512
4/7/2017 12:00:00 AM,1,436,490
4/8/2017 12:00:00 AM,1,384,435
4/9/2017 12:00:00 AM,1,525,566
4/10/2017 12:00:00 AM,1,457,475
4/11/2017 12:00:00 AM,1,401,444
4/12/2017 12:00:00 AM,1,474,494
4/13/2017 12:00:00 AM,1,420,467
4/14/2017 12:00:00 AM,1,418,468
4/15/2017 12:00:00 AM,1,324,375
4/16/2017 12:00:00 AM,1,405,443
4/17/2017 12:00:00 AM,1,420,465
4/18/2017 12:00:00 AM,1,322,347
4/19/2017 12:00:00 AM,1,406,482
4/20/2017 12:00:00 AM,1,433,492
4/21/2017 12:00:00 AM,1,331,361
4/22/2017 12:00:00 AM,1,359,394
4/23/2017 12:00:00 AM,1,426,440
4/24/2017 12:00:00 AM,1,432,492
4/25/2017 12:00:00 AM,1,438,447
4/26/2017 12:00:00 AM,1,452,522
4/27/2017 12:00:00 AM,1,356,405
4/28/2017 12:00:00 AM,1,448,509
4/29/2017 12:00:00 AM,1,322,355
4/30/2017 12:00:00 AM,1,474,515
5/1/2017 12:00:00 AM,1,445,483
5/2/2017 12:00:00 AM,1,456,513
5/3/2017 12:00:00 AM,1,356,409
5/4/2017 12:00:00 AM,1,508,596
5/5/2017 12:00:00 AM,1,328,377
5/6/2017 12:00:00 AM,1,389,411
5/7/2017 12:00:00 AM,1,488,536
5/8/2017 12:00:00 AM,1,459,501
5/9/2017 12:00:00 AM,1,471,538
5/10/2017 12:00:00 AM,1,399,449
5/11/2017 12:00:00 AM,1,479,550
5/12/2017 12:00:00 AM,1,460,529
5/13/2017 12:00:00 AM,1,309,349
5/14/2017 12:00:00 AM,1,442,518
5/15/2017 12:00:00 AM,1,410,454
5/16/2017 12:00:00 AM,1,423,484
5/17/2017 12:00:00 AM,1,398,434
5/18/2017 12:00:00 AM,1,393,435
5/19/2017 12:00:00 AM,1,398,430
5/20/2017 12:00:00 AM,1,383,400
5/21/2017 12:00:00 AM,1,450,493
5/22/2017 12:00:00 AM,1,386,437
5/23/2017 12:00:00 AM,1,468,525
5/24/2017 12:00:00 AM,1,378,428
5/25/2017 12:00:00 AM,1,460,469
5/26/2017 12:00:00 AM,1,424,463
5/27/2017 12:00:00 AM,1,429,471
5/28/2017 12:00:00 AM,1,482,509
5/29/2017 12:00:00 AM,1,440,449
5/30/2017 12:00:00 AM,2,444,485
5/31/2017 12:00:00 AM,1,477,503
6/1/2017 12:00:00 AM,1,484,518
6/2/2017 12:00:00 AM,1,332,349
6/3/2017 12:00:00 AM,1,366,411
6/4/2017 12:00:00 AM,1,395,412
6/5/2017 12:00:00 AM,1,400,418
6/6/2017 12:00:00 AM,1,442,455
6/7/2017 12:00:00 AM,1,385,415
6/8/2017 12:00:00 AM,1,263,291
6/9/2017 12:00:00 AM,1,409,455
6/10/2017 12:00:00 AM,1,397,444
6/11/2017 12:00:00 AM,1,511,566
6/12/2017 12:00:00 AM,1,481,547
6/13/2017 12:00:00 AM,1,330,369
6/14/2017 12:00:00 AM,1,335,389
6/15/2017 12:00:00 AM,1,403,457
6/16/2017 12:00:00 AM,1,433,482
6/17/2017 12:00:00 AM,1,363,400
6/18/2017 12:00:00 AM,1,484,530
6/19/2017 12:00:00 AM,1,444,452
6/20/2017 12:00:00 AM,1,443,501
6/21/2017 12:00:00 AM,1,333,361
6/22/2017 12:00:00 AM,1,472,497
6/23/2017 12:00:00 AM,1,457,499
6/24/2017 12:00:00 AM,1,448,487
6/25/2017 12:00:00 AM,1,527,577
6/26/2017 12:00:00 AM,1,437,493
6/27/2017 12:00:00 AM,1,214,250
6/28/2017 12:00:00 AM,1,442,503
6/29/2017 12:00:00 AM,1,425,458
6/30/2017 12:00:00 AM,1,388,398
7/1/2017 12:00:00 AM,1,431,469
7/2/2017 12:00:00 AM,1,432,488
7/3/2017 12:00:00 AM,1,413,449
7/4/2017 12:00:00 AM,1,128,140
7/5/2017 12:00:00 AM,1,428,481
7/6/2017 12:00:00 AM,1,346,395
7/7/2017 12:00:00 AM,1,445,498
7/8/2017 12:00:00 AM,1,422,470
7/9/2017 12:00:00 AM,1,464,504
7/10/2017 12:00:00 AM,1,479,538
7/11/2017 12:00:00 AM,1,380,436
7/12/2017 12:00:00 AM,1,488,525
7/13/2017 12:00:00 AM,1,400,404
7/14/2017 12:00:00 AM,1,332,339
7/15/2017 12:00:00 AM,1,350,387
7/16/2017 12:00:00 AM,1,477,531
7/17/2017 12:00:00 AM,1,441,487
7/18/2017 12:00:00 AM,1,385,394
7/19/2017 12:00:00 AM,1,349,389
7/20/2017 12:00:00 AM,1,487,498
7/21/2017 12:00:00 AM,1,373,389
7/22/2017 12:00:00 AM,1,418,454
7/23/2017 12:00:00 AM,1,413,471
7/24/2017 12:00:00 AM,1,530,550
7/25/2017 12:00:00 AM,1,348,394
7/26/2017 12:00:00 AM,1,399,449
7/27/2017 12:00:00 AM,1,399,441
7/28/2017 12:00:00 AM,1,400,451
7/29/2017 12:00:00 AM,1,511,540
7/30/2017 12:00:00 AM,1,477,538
7/31/2017 12:00:00 AM,1,413,471
8/1/2017 12:00:00 AM,1,371,421
8/2/2017 12:00:00 AM,1,450,501
8/3/2017 12:00:00 AM,1,456,525
8/4/2017 12:00:00 AM,1,483,510
8/5/2017 12:00:00 AM,1,257,282
8/6/2017 12:00:00 AM,1,512,543
8/7/2017 12:00:00 AM,1,380,439
8/8/2017 12:00:00 AM,1,344,382
8/9/2017 12:00:00 AM,1,440,472
8/10/2017 12:00:00 AM,1,454,510
8/12/2017 12:00:00 AM,1,502,539
8/13/2017 12:00:00 AM,1,417,473
8/14/2017 12:00:00 AM,1,464,509
8/15/2017 12:00:00 AM,1,401,448
8/16/2017 12:00:00 AM,1,362,409
8/17/2017 12:00:00 AM,1,515,565
8/18/2017 12:00:00 AM,1,448,487
8/19/2017 12:00:00 AM,1,422,460
8/20/2017 12:00:00 AM,1,479,542
8/21/2017 12:00:00 AM,1,506,565
8/22/2017 12:00:00 AM,1,464,517
8/23/2017 12:00:00 AM,1,429,470
8/24/2017 12:00:00 AM,1,397,470
8/25/2017 12:00:00 AM,2,592,666
8/26/2017 12:00:00 AM,1,108,116
8/27/2017 12:00:00 AM,1,574,639
8/28/2017 12:00:00 AM,1,403,436
8/29/2017 12:00:00 AM,1,463,481
8/30/2017 12:00:00 AM,1,453,508
8/31/2017 12:00:00 AM,1,385,445
9/1/2017 12:00:00 AM,1,452,502
9/2/2017 12:00:00 AM,1,433,504
9/3/2017 12:00:00 AM,1,422,475
9/4/2017 12:00:00 AM,1,448,512
9/5/2017 12:00:00 AM,1,408,471
9/6/2017 12:00:00 AM,1,466,546
9/7/2017 12:00:00 AM,1,485,513
9/8/2017 12:00:00 AM,1,458,481
9/9/2017 12:00:00 AM,1,473,505
9/10/2017 12:00:00 AM,1,521,570
9/11/2017 12:00:00 AM,1,371,415
9/12/2017 12:00:00 AM,1,367,392
9/13/2017 12:00:00 AM,1,455,473
9/14/2017 12:00:00 AM,1,423,475
9/15/2017 12:00:00 AM,1,447,509
9/16/2017 12:00:00 AM,1,497,543
9/17/2017 12:00:00 AM,1,429,481
9/18/2017 12:00:00 AM,1,453,473
9/19/2017 12:00:00 AM,1,429,492
9/20/2017 12:00:00 AM,1,429,454
9/21/2017 12:00:00 AM,1,407,458
9/22/2017 12:00:00 AM,1,431,465
9/23/2017 12:00:00 AM,1,454,516
9/24/2017 12:00:00 AM,1,548,600
9/25/2017 12:00:00 AM,1,422,471
9/26/2017 12:00:00 AM,1,438,483
9/27/2017 12:00:00 AM,1,453,514
9/28/2017 12:00:00 AM,1,436,474
9/29/2017 12:00:00 AM,1,445,487
9/30/2017 12:00:00 AM,1,492,564
10/1/2017 12:00:00 AM,1,483,531
10/2/2017 12:00:00 AM,1,443,504
10/3/2017 12:00:00 AM,1,429,489
10/4/2017 12:00:00 AM,1,421,437
10/5/2017 12:00:00 AM,1,333,381
10/6/2017 12:00:00 AM,1,379,419
10/7/2017 12:00:00 AM,1,350,397
10/8/2017 12:00:00 AM,1,462,529
10/9/2017 12:00:00 AM,1,493,555
10/10/2017 12:00:00 AM,1,476,501
10/11/2017 12:00:00 AM,1,486,539
10/12/2017 12:00:00 AM,1,414,455
10/13/2017 12:00:00 AM,1,426,476
10/14/2017 12:00:00 AM,1,488,511
10/15/2017 12:00:00 AM,1,473,532
10/16/2017 12:00:00 AM,1,425,465
10/17/2017 12:00:00 AM,1,458,507
10/18/2017 12:00:00 AM,1,423,471
10/19/2017 12:00:00 AM,1,420,454
10/20/2017 12:00:00 AM,1,533,559
10/21/2017 12:00:00 AM,1,585,653
10/22/2017 12:00:00 AM,1,522,580
10/23/2017 12:00:00 AM,1,369,410
10/24/2017 12:00:00 AM,1,439,480
10/25/2017 12:00:00 AM,1,391,428
10/26/2017 12:00:00 AM,1,408,444
10/27/2017 12:00:00 AM,1,425,459
10/28/2017 12:00:00 AM,1,347,416
10/29/2017 12:00:00 AM,1,428,462
10/30/2017 12:00:00 AM,1,420,469
10/31/2017 12:00:00 AM,1,441,472
11/1/2017 12:00:00 AM,1,511,564
11/2/2017 12:00:00 AM,1,429,471
11/3/2017 12:00:00 AM,1,473,533
11/4/2017 12:00:00 AM,1,466,535
11/5/2017 12:00:00 AM,1,579,595
11/6/2017 12:00:00 AM,1,453,464
11/7/2017 12:00:00 AM,1,400,422
11/8/2017 12:00:00 AM,1,399,457
11/9/2017 12:00:00 AM,1,421,441
11/10/2017 12:00:00 AM,1,509,553
11/11/2017 12:00:00 AM,2,509,575
11/12/2017 12:00:00 AM,1,496,552
11/13/2017 12:00:00 AM,1,478,492
11/14/2017 12:00:00 AM,1,379,426
11/15/2017 12:00:00 AM,1,442,503
11/16/2017 12:00:00 AM,1,438,473
11/17/2017 12:00:00 AM,1,350,399
11/18/2017 12:00:00 AM,1,451,511
11/19/2017 12:00:00 AM,1,528,606
11/20/2017 12:00:00 AM,1,473,511
11/21/2017 12:00:00 AM,1,390,411
11/22/2017 12:00:00 AM,1,433,453
11/23/2017 12:00:00 AM,2,369,408
11/24/2017 12:00:00 AM,1,592,660
11/25/2017 12:00:00 AM,1,547,613
11/26/2017 12:00:00 AM,1,498,607
11/27/2017 12:00:00 AM,1,461,496
11/28/2017 12:00:00 AM,1,284,304
11/29/2017 12:00:00 AM,1,472,523
11/30/2017 12:00:00 AM,1,474,521
12/1/2017 12:00:00 AM,1,422,444
12/2/2017 12:00:00 AM,1,490,546
